124|Transformación|26-6-1992|Gómez Lollo, Humberto|Argentina|Mármol|124.jpg|Peatonal Arturo Illía 1|-27.452735,-58.988125||||
125|Viento norte|0-8-1998|Gómez Lollo, Humberto|Argentina|Mármol travertino|125.jpg|Av. Sarmiento 783|-27.445056,-58.979773||||
126|Forma y espacio||Gómez Lollo, Humberto|Argentina|Madera|126.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.444775,-59.048783||||
127|Tecnolito|9-6-1997|Gonzalez Salazar, Miguel Angel|México|Mármol travertino|127.jpg|Colón 164|-27.455443,-58.984464|Primer premio - Segunda Trienal Americana de Escultura|||
128|Sin título|19-7-1998|Gonzalez Salazar, Miguel Angel|México|Granito|128.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437253,-58.980484|Premio Nuevo Banco del Chaco - Gran premio de Honor|||
129|Desnudo||Grillo, Juan|Argentina|Bronce|129.jpg|Güemes 626|-27.447096,-58.98021||||
130|Máscara||Grillo, Juan|Argentina|Granito|130.jpg|Juan D. Perón 99|-27.451985,-58.989123||||
131|Emiliana||Guzanti Trías, Norma|Desconocido|Cemento|131.jpg|Remedios de Escalada 132|-27.447796,-58.987921||||
132|Cruces|19-7-1998|Heras Velazco, María Juana|Argentina|Metal|132.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437267,-58.980578|Gran Premio de Honor|||
133|Formas continuas|0-0-1978|Iommi, Enio|Argentina|Bronce|133.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.444868,-59.048711||||
134|Adolfo Cristaldo|00-12-89|Jara, Ricardo|Argentina|Cemento|134.jpg|Av. Sarmiento 900 al 1000|-27.443866,-58.97844||||
135|Ronda por la unión americana||Jara, Ricardo|Argentina|Cemento|135.jpg|Vedia 180|-27.450916,-58.989895||||
136|Primeros pasos||Jara, Ricardo|Argentina|Cemento|136.jpg|Av. Paraguay 45|-27.447579,-58.981672||||
137|Crisol de razas||Jara, Ricardo|Argentina|Cemento|137.jpg|Parque 2 de Febrero|-27.439424,-58.984867||||
138|Recibiendo al sol|3-6-1997|Jiménez, Aquiles|Costa Rica|Mármol travertino|138.jpg|Entre Ríos 635|-27.443164,-58.98864||||
139|Maternidad||Jiménez, Luis|Argentina|Granito Reconstruido|139.jpg|Av. Sarmiento 655|-27.445965,-58.980929||||
140|Momento de Big Bang|29-7-1993|Johnson, Héctor|Argentina|Piedra|140.jpg|José Hernández 700|-27.451238,-58.974312||||
141|Chacohachasol|19-7-1998|Johnson, Héctor|Argentina|Metal|141.jpg|Av. De los Inmigrantes 1001 - Museum|-27.439681,-58.982723|Gran Premio de Honor|||
142|Mujer espacial|7-7-1978|Juárez, Lidia|Argentina|Cemento|142.jpg|Vedia 130|-27.450604,-58.989531||||
143|Mensaje del aire||Juárez, Lidia|Argentina|Hierro|143.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.444885,-59.048577||||
144|Santos Vega|29-5-1969|Juárez, Horacio|Argentina|Cemento|144.jpg|Güemes 160|-27.4507186166981,-58.984222412109375||||
